game_id,season,week,kickoff,home,away,location,margin,total,home_points,away_points,pgo_v0_margin,legacy_margin,old_selector_margin
2026_01_DEN_KC,2026,1,2026-09-15T00:15:00+00:00,KC,DEN,Home,-1.7203575966934963,41.23529411764706,19.75746826047678,21.477825857170277,0.6162851932001407,0.023441429891963905,-1.7203575966934963
2026_02_DET_BUF,2026,2,2026-09-18T00:15:00+00:00,BUF,DET,Home,4.788349833346543,51.17647058823529,27.982410210790917,23.194060377444373,3.1289706053161375,3.297672918301819,4.788349833346543
2026_02_CAR_ATL,2026,2,2026-09-20T17:00:00+00:00,ATL,CAR,Home,5.641156024175755,42.5,24.07057801208788,18.42942198791212,3.69464691611829,3.7516183423764007,3.9392089959787926
2026_02_CIN_HOU,2026,2,2026-09-20T17:00:00+00:00,HOU,CIN,Home,5.890172752787082,47.205882352941174,26.548027552864127,20.657854800077047,5.450616974375206,5.459190996546361,5.890172752787082
2026_02_CLE_TB,2026,2,2026-09-20T17:00:00+00:00,TB,CLE,Home,4.982308582260671,42.61764705882353,23.7999778205421,18.81766923828143,3.961641386819737,4.175718525690009,4.982308582260671
2026_02_GB_NYJ,2026,2,2026-09-20T17:00:00+00:00,NYJ,GB,Home,-11.97390801542651,45.705882352941174,16.865987168757332,28.839895184183842,-3.475824148668077,-5.4272861857058725,-11.81274626010351
2026_02_MIN_CHI,2026,2,2026-09-20T17:00:00+00:00,CHI,MIN,Home,2.5550609178670856,45.088235294117645,23.821648105992367,21.26658718812528,2.743655896200715,2.904888153617529,2.5550609178670856
2026_02_NO_BAL,2026,2,2026-09-20T17:00:00+00:00,BAL,NO,Home,9.619747383859174,44.44117647058823,27.030461927223705,17.410714543364527,5.961750417086242,6.796728059865136,9.619747383859174
2026_02_PHI_TEN,2026,2,2026-09-20T17:00:00+00:00,TEN,PHI,Home,-10.779924821447924,43.11764705882353,16.1688611186878,26.94878594013573,-3.6002229735271314,-4.916720269398185,-9.690440187740952
2026_02_PIT_NE,2026,2,2026-09-20T17:00:00+00:00,NE,PIT,Home,5.984322527245174,46.88235294117647,26.433337734210824,20.449015206965647,5.072102032123979,5.2002833046879005,5.984322527245174
2026_02_JAX_DEN,2026,2,2026-09-20T20:05:00+00:00,DEN,JAX,Home,0.0009015500957981759,44.76470588235294,22.38280371622437,22.381902166128572,1.3753749245172404,0.8060957459605214,0.0009015500957981759
2026_02_LV_LAC,2026,2,2026-09-20T20:05:00+00:00,LAC,LV,Home,10.692400543583824,40.61764705882353,25.655023801203676,14.962623257619853,7.787863514820891,8.481712289785824,10.692400543583824
2026_02_MIA_SF,2026,2,2026-09-20T20:25:00+00:00,SF,MIA,Home,7.584558882583899,46.44117647058823,27.012867676586065,19.428308794002167,6.190108047522973,6.992399054220197,8.408717392264782
2026_02_SEA_ARI,2026,2,2026-09-20T20:25:00+00:00,ARI,SEA,Home,-11.814115802049539,47.588235294117645,17.887059746034055,29.70117554808359,-5.246863520878308,-6.644929846636849,-11.113563048472589
2026_02_WAS_DAL,2026,2,2026-09-20T20:25:00+00:00,DAL,WAS,Home,2.3898256254036596,52.61764705882353,27.503736342113594,25.113910716709935,2.6833324071063687,2.554455187385919,2.3898256254036596
