game_id,season,game_type,home_team,away_team,home_score,away_score
2025_12_CLE_LV,2025,REG,LV,CLE,10,24
2025_12_PHI_DAL,2025,REG,DAL,PHI,24,21
2025_12_ATL_NO,2025,REG,NO,ATL,10,24
2025_12_TB_LA,2025,REG,LA,TB,34,7
2025_12_CAR_SF,2025,REG,SF,CAR,20,9
2025_13_GB_DET,2025,REG,DET,GB,24,31
2025_13_KC_DAL,2025,REG,DAL,KC,31,28
2025_13_CIN_BAL,2025,REG,BAL,CIN,14,32
2025_13_CHI_PHI,2025,REG,PHI,CHI,15,24
2025_13_LA_CAR,2025,REG,CAR,LA,31,28
2025_13_SF_CLE,2025,REG,CLE,SF,8,26
2025_13_HOU_IND,2025,REG,IND,HOU,16,20
2025_13_NO_MIA,2025,REG,MIA,NO,21,17
2025_13_ATL_NYJ,2025,REG,NYJ,ATL,27,24
2025_13_ARI_TB,2025,REG,TB,ARI,20,17
2025_13_JAX_TEN,2025,REG,TEN,JAX,3,25
2025_13_MIN_SEA,2025,REG,SEA,MIN,26,0
2025_13_LV_LAC,2025,REG,LAC,LV,31,14
2025_13_BUF_PIT,2025,REG,PIT,BUF,7,26
2025_13_DEN_WAS,2025,REG,WAS,DEN,26,27
2025_13_NYG_NE,2025,REG,NE,NYG,33,15
2025_14_DAL_DET,2025,REG,DET,DAL,44,30
2025_14_SEA_ATL,2025,REG,ATL,SEA,9,37
2025_14_PIT_BAL,2025,REG,BAL,PIT,22,27
2025_14_CIN_BUF,2025,REG,BUF,CIN,39,34
2025_14_TEN_CLE,2025,REG,CLE,TEN,29,31
2025_14_IND_JAX,2025,REG,JAX,IND,36,19
2025_14_WAS_MIN,2025,REG,MIN,WAS,31,0
2025_14_MIA_NYJ,2025,REG,NYJ,MIA,10,34
2025_14_NO_TB,2025,REG,TB,NO,20,24
2025_14_DEN_LV,2025,REG,LV,DEN,17,24
2025_14_LA_ARI,2025,REG,ARI,LA,17,45
2025_14_CHI_GB,2025,REG,GB,CHI,28,21
2025_14_HOU_KC,2025,REG,KC,HOU,10,20
2025_14_PHI_LAC,2025,REG,LAC,PHI,22,19
2025_15_ATL_TB,2025,REG,TB,ATL,28,29
2025_15_CLE_CHI,2025,REG,CHI,CLE,31,3
2025_15_BAL_CIN,2025,REG,CIN,BAL,0,24
2025_15_ARI_HOU,2025,REG,HOU,ARI,40,20
2025_15_NYJ_JAX,2025,REG,JAX,NYJ,48,20
2025_15_LAC_KC,2025,REG,KC,LAC,13,16
2025_15_BUF_NE,2025,REG,NE,BUF,31,35
2025_15_WAS_NYG,2025,REG,NYG,WAS,21,29
2025_15_LV_PHI,2025,REG,PHI,LV,31,0
2025_15_GB_DEN,2025,REG,DEN,GB,34,26
2025_15_DET_LA,2025,REG,LA,DET,41,34
2025_15_CAR_NO,2025,REG,NO,CAR,20,17
2025_15_IND_SEA,2025,REG,SEA,IND,18,16
2025_15_TEN_SF,2025,REG,SF,TEN,37,24
2025_15_MIN_DAL,2025,REG,DAL,MIN,26,34
2025_15_MIA_PIT,2025,REG,PIT,MIA,28,15
2025_16_LA_SEA,2025,REG,SEA,LA,38,37
2025_16_PHI_WAS,2025,REG,WAS,PHI,18,29
2025_16_GB_CHI,2025,REG,CHI,GB,22,16
2025_16_TB_CAR,2025,REG,CAR,TB,23,20
2025_16_BUF_CLE,2025,REG,CLE,BUF,20,23
2025_16_LAC_DAL,2025,REG,DAL,LAC,17,34
